"","va1","va2","va3"
"336","NAIP",0.455583722458326,"CASP8"
"337","NLRC4",0.325034777564813,"CASP8"
"338","NLRP1",0.365371196098684,"CASP8"
"339","NLRP9",0.149467187281962,"CASP8"
"340","TP53",0.226342819151916,"CASP8"
"341","TP63",0.150347164915752,"CASP8"
"342","ZBP1",0.260578842605303,"CASP8"
"343","AIM2",-0.0398113400320223,"CHMP2A"
"344","APIP",0.0924420766883112,"CHMP2A"
"345","BAK1",0.249236329328746,"CHMP2A"
"346","BAX",0.545553977902161,"CHMP2A"
"347","CASP1",-0.0456483213952329,"CHMP2A"
"348","CASP3",-0.0667938338986336,"CHMP2A"
"349","CASP4",0.13041956424657,"CHMP2A"
"350","CASP5",-0.0149748712582087,"CHMP2A"
"351","CASP8",-0.0473635463668529,"CHMP2A"
"352","CHMP2A",1,"CHMP2A"
"353","CHMP2B",-0.236117238073871,"CHMP2A"
"354","CHMP3",0.0906925977735022,"CHMP2A"
"355","CHMP4A",0.459987322005342,"CHMP2A"
"356","CHMP4B",0.483750051460165,"CHMP2A"
"357","CHMP4C",0.186788371196556,"CHMP2A"
"358","CHMP6",0.444650097369359,"CHMP2A"
"359","CHMP7",0.0338405302969553,"CHMP2A"
"360","CYCS",0.308618429974479,"CHMP2A"
"361","DHX9",-0.136713197979589,"CHMP2A"
"362","ELANE",-0.0575224171271041,"CHMP2A"
"363","GSDMA",0.0107819469323021,"CHMP2A"
"364","GSDMB",0.165929130774285,"CHMP2A"
"365","GSDMC",0.0590902704324658,"CHMP2A"
"366","GSDMD",0.495175665246348,"CHMP2A"
"367","GZMA",0.117501867191843,"CHMP2A"
"368","GZMB",0.105898125365154,"CHMP2A"
"369","IL18",0.0686380416928879,"CHMP2A"
"370","IL1A",-0.0347654563274951,"CHMP2A"
"371","IL1B",-0.206974806890376,"CHMP2A"
"372","IRF1",0.0343543339589265,"CHMP2A"
"373","IRF2",-0.332091117042066,"CHMP2A"
"374","NAIP",-0.127857215446274,"CHMP2A"
"375","NLRC4",-0.0851351185499343,"CHMP2A"
"376","NLRP1",-0.0233748442597712,"CHMP2A"
"377","NLRP9",0.0256870698061762,"CHMP2A"
"378","TP53",0.0698506783229751,"CHMP2A"
"379","TP63",0.00172052821580465,"CHMP2A"
"380","ZBP1",0.0337513150251479,"CHMP2A"
"381","AIM2",0.268084529045367,"CHMP2B"
"382","APIP",0.449585562711352,"CHMP2B"
"383","BAK1",0.47670584221234,"CHMP2B"
"384","BAX",0.143067591298952,"CHMP2B"
"385","CASP1",0.337702464018684,"CHMP2B"
"386","CASP3",0.521570677721587,"CHMP2B"
"387","CASP4",0.325404166885451,"CHMP2B"
"388","CASP5",0.315707246543419,"CHMP2B"
"389","CASP8",0.544165545234537,"CHMP2B"
"390","CHMP2A",-0.236117238073871,"CHMP2B"
"391","CHMP2B",1,"CHMP2B"
"392","CHMP3",0.553850431560825,"CHMP2B"
"393","CHMP4A",-0.0305999169785233,"CHMP2B"
"394","CHMP4B",0.327209298199132,"CHMP2B"
"395","CHMP4C",0.359436566873167,"CHMP2B"
"396","CHMP6",0.0196233378923952,"CHMP2B"
"397","CHMP7",0.283508268920619,"CHMP2B"
"398","CYCS",0.313278063816283,"CHMP2B"
"399","DHX9",0.588770715228537,"CHMP2B"
"400","ELANE",0.00841556074678668,"CHMP2B"
"401","GSDMA",0.283512692193797,"CHMP2B"
"402","GSDMB",0.0196357247063894,"CHMP2B"
"403","GSDMC",0.240389781337605,"CHMP2B"
"404","GSDMD",-0.0230101136200937,"CHMP2B"
"405","GZMA",0.112443819734778,"CHMP2B"
"406","GZMB",0.0866579660373589,"CHMP2B"
"407","IL18",0.257132723419723,"CHMP2B"
"408","IL1A",0.252136582410776,"CHMP2B"
"409","IL1B",0.315130189380576,"CHMP2B"
"410","IRF1",0.326333410277959,"CHMP2B"
"411","IRF2",0.394246942546881,"CHMP2B"
"412","NAIP",0.381752483719302,"CHMP2B"
"413","NLRC4",0.318246344983451,"CHMP2B"
"414","NLRP1",0.260917795698361,"CHMP2B"
"415","NLRP9",0.0475573253809052,"CHMP2B"
"416","TP53",0.153627799991088,"CHMP2B"
"417","TP63",0.113996090445628,"CHMP2B"
"418","ZBP1",0.195462752911281,"CHMP2B"
"419","AIM2",0.264929401998241,"CHMP3"
"420","APIP",0.392643302527498,"CHMP3"
"421","BAK1",0.694542238754922,"CHMP3"
"422","BAX",0.509229332587309,"CHMP3"
"423","CASP1",0.259987285922028,"CHMP3"
"424","CASP3",0.52747492248271,"CHMP3"
"425","CASP4",0.445496885592773,"CHMP3"
"426","CASP5",0.30447644595713,"CHMP3"
"427","CASP8",0.544135460975177,"CHMP3"
"428","CHMP2A",0.0906925977735022,"CHMP3"
"429","CHMP2B",0.553850431560825,"CHMP3"
"430","CHMP3",1,"CHMP3"
"431","CHMP4A",0.205195879340437,"CHMP3"
"432","CHMP4B",0.64210858940695,"CHMP3"
"433","CHMP4C",0.522154775361442,"CHMP3"
"434","CHMP6",0.205112194454549,"CHMP3"
"435","CHMP7",0.478968526868228,"CHMP3"
"436","CYCS",0.396499029102605,"CHMP3"
"437","DHX9",0.688191827569586,"CHMP3"
"438","ELANE",0.0395311128623861,"CHMP3"
"439","GSDMA",0.34034195473044,"CHMP3"
"440","GSDMB",0.0624179995305776,"CHMP3"
"441","GSDMC",0.293406134417584,"CHMP3"
"442","GSDMD",0.109997030040989,"CHMP3"
"443","GZMA",0.147845929684454,"CHMP3"
"444","GZMB",0.116356084902647,"CHMP3"
"445","IL18",0.409001344734337,"CHMP3"
"446","IL1A",0.324528393188156,"CHMP3"
"447","IL1B",0.262395049778813,"CHMP3"
